Date Collected,Sample ID,Photo ID,Photo_reduced,Fish.ID
3/21/17,IE0321173,MU.012319.07.00,MU.012319.07,MU.012319.07_IE0321173
3/21/17,IE0321173,MU.012319.07.01,MU.012319.07,MU.012319.07_IE0321173
9/15/17,IE0915174,MU.012519.01.00,MU.012519.01,MU.012519.01_IE0915174
9/15/17,IE0915174,MU.012519.01.01,MU.012519.01,MU.012519.01_IE0915174
9/15/17,IE0915174,MU.012519.02.00,MU.012519.02,MU.012519.02_IE0915174
9/15/17,IE0915174,MU.012519.02.01,MU.012519.02,MU.012519.02_IE0915174
9/15/17,IE0915174,MU.012519.03.00,MU.012519.03,MU.012519.03_IE0915174
9/15/17,IE0915174,MU.012519.03.01,MU.012519.03,MU.012519.03_IE0915174
9/15/17,IE0915174,MU.012519.04.00,MU.012519.04,MU.012519.04_IE0915174
9/15/17,IE0915174,MU.012519.04.01,MU.012519.04,MU.012519.04_IE0915174
9/15/17,IE0915174,MU.012519.05.00,MU.012519.05,MU.012519.05_IE0915174
9/15/17,IE0915174,MU.012519.05.01,MU.012519.05,MU.012519.05_IE0915174
9/15/17,IE0915174,MU.012519.06.00,MU.012519.06,MU.012519.06_IE0915174
9/15/17,IE0915174,MU.012519.07.00,MU.012519.07,MU.012519.07_IE0915174
9/15/17,IE0915174,MU.012519.07.01,MU.012519.07,MU.012519.07_IE0915174
9/15/17,IE0915174,MU.012519.08.00,MU.012519.08,MU.012519.08_IE0915174
9/15/17,IE0915174,MU.012519.08.01,MU.012519.08,MU.012519.08_IE0915174
9/15/17,IE0915174,MU.012519.09.00,MU.012519.09,MU.012519.09_IE0915174
9/15/17,IE0915174,MU.012519.09.01,MU.012519.09,MU.012519.09_IE0915174
9/15/17,IE0915174,MU.012519.10.00,MU.012519.10,MU.012519.10_IE0915174
9/15/17,IE0915174,MU.012519.10.01,MU.012519.10,MU.012519.10_IE0915174
9/15/17,IE0915174,MU.012519.11.00,MU.012519.11,MU.012519.11_IE0915174
9/15/17,IE0915174,MU.012519.11.01,MU.012519.11,MU.012519.11_IE0915174
9/15/17,IE0915174,MU.012519.12.00,MU.012519.12,MU.012519.12_IE0915174
9/15/17,IE0915174,MU.012519.12.01,MU.012519.12,MU.012519.12_IE0915174
9/15/17,IE0915174,MU.012519.13.00,MU.012519.13,MU.012519.13_IE0915174
9/15/17,IE0915174,MU.012519.13.01,MU.012519.13,MU.012519.13_IE0915174
9/15/17,IE0915174,MU.012519.14.00,MU.012519.14,MU.012519.14_IE0915174
9/15/17,IE0915174,MU.012519.14.01,MU.012519.14,MU.012519.14_IE0915174
9/15/17,IE0915174,MU.012519.15.00,MU.012519.15,MU.012519.15_IE0915174
9/15/17,IE0915174,MU.012519.15.01,MU.012519.15,MU.012519.15_IE0915174
9/15/17,IE0915174,MU.012519.16.00,MU.012519.16,MU.012519.16_IE0915174
9/15/17,IE0915174,MU.012519.16.01,MU.012519.16,MU.012519.16_IE0915174
9/15/17,IE0915174,MU.012519.16.02,MU.012519.16,MU.012519.16_IE0915174
9/15/17,IE0915174,MU.012519.17.00,MU.012519.17,MU.012519.17_IE0915174
9/15/17,IE0915174,MU.012519.17.00,MU.012519.17,MU.012519.17_IE0915174
4/12/17,IE0412175,MU.012819.01.00,MU.012819.01,MU.012819.01_IE0412175
4/12/17,IE0412175,MU.012819.01.01,MU.012819.01,MU.012819.01_IE0412175
4/12/17,IE0412175,MU.012819.02.00,MU.012819.02,MU.012819.02_IE0412175
4/12/17,IE0412175,MU.012819.02.01,MU.012819.02,MU.012819.02_IE0412175
4/12/17,IE0412175,MU.012819.03.00,MU.012819.03,MU.012819.03_IE0412175
4/12/17,IE0412175,MU.012819.03.01,MU.012819.03,MU.012819.03_IE0412175
4/12/17,IE0412175,MU.012819.04.00,MU.012819.04,MU.012819.04_IE0412175
4/12/17,IE0412175,MU.012819.04.01,MU.012819.04,MU.012819.04_IE0412175
4/12/17,IE0412175,MU.012819.05.00,MU.012819.05,MU.012819.05_IE0412175
4/12/17,IE0412175,MU.012819.05.01,MU.012819.05,MU.012819.05_IE0412175
4/12/17,IE0412175,MU.012819.06.00,MU.012819.06,MU.012819.06_IE0412175
4/12/17,IE0412175,MU.012819.06.01,MU.012819.06,MU.012819.06_IE0412175
4/12/17,IE0412175,MU.012819.07.00,MU.012819.07,MU.012819.07_IE0412175
4/12/17,IE0412175,MU.012819.07.01,MU.012819.07,MU.012819.07_IE0412175
4/12/17,IE0412175,MU.012819.08.00,MU.012819.08,MU.012819.08_IE0412175
4/12/17,IE0412175,MU.012819.08.01,MU.012819.08,MU.012819.08_IE0412175
9/9/17,IE0909173,MU.012819.01.00,MU.012819.01,MU.012819.01_IE0909173
9/9/17,IE0909173,MU.012819.01.01,MU.012819.01,MU.012819.01_IE0909173
9/9/17,IE0909173,MU.012819.02.00,MU.012819.02,MU.012819.02_IE0909173
9/9/17,IE0909173,MU.012819.02.01,MU.012819.02,MU.012819.02_IE0909173
9/9/17,IE0909173,MU.012819.03.00,MU.012819.03,MU.012819.03_IE0909173
9/9/17,IE0909173,MU.012819.03.01,MU.012819.03,MU.012819.03_IE0909173
9/9/17,IE0909173,MU.012819.04.00,MU.012819.04,MU.012819.04_IE0909173
9/9/17,IE0909173,MU.012819.04.01,MU.012819.04,MU.012819.04_IE0909173
9/9/17,IE0909173,MU.012819.05.00,MU.012819.05,MU.012819.05_IE0909173
9/9/17,IE0909173,MU.012819.05.01,MU.012819.05,MU.012819.05_IE0909173
9/9/17,IE0909173,MU.012819.06.00,MU.012819.06,MU.012819.06_IE0909173
9/9/17,IE0909173,MU.012819.06.01,MU.012819.06,MU.012819.06_IE0909173
9/9/17,IE0909173,MU.012819.07.00,MU.012819.07,MU.012819.07_IE0909173
9/9/17,IE0909173,MU.012819.07.01,MU.012819.07,MU.012819.07_IE0909173
9/9/17,IE0909173,MU.012819.08.00,MU.012819.08,MU.012819.08_IE0909173
9/9/17,IE0909173,MU.012819.08.01,MU.012819.08,MU.012819.08_IE0909173
9/9/17,IE0909173,MU.012819.09.00,MU.012819.09,MU.012819.09_IE0909173
9/9/17,IE0909173,MU.012819.09.01,MU.012819.09,MU.012819.09_IE0909173
9/9/17,IE0909173,MU.012819.10.00,MU.012819.10,MU.012819.10_IE0909173
9/9/17,IE0909173,MU.012819.10.01,MU.012819.10,MU.012819.10_IE0909173
9/9/17,IE0909173,MU.012819.11.00,MU.012819.11,MU.012819.11_IE0909173
9/9/17,IE0909173,MU.012819.11.01,MU.012819.11,MU.012819.11_IE0909173
9/9/17,IE0909173,MU.012819.12.00,MU.012819.12,MU.012819.12_IE0909173
9/9/17,IE0909173,MU.012819.13.00,MU.012819.13,MU.012819.13_IE0909173
9/9/17,IE0909173,MU.012819.14.00,MU.012819.14,MU.012819.14_IE0909173
9/9/17,IE0909173,MU.012819.14.01,MU.012819.14,MU.012819.14_IE0909173
9/9/17,IE0909173,MU.012819.15.00,MU.012819.15,MU.012819.15_IE0909173
9/9/17,IE0909173,MU.012819.15.01,MU.012819.15,MU.012819.15_IE0909173
9/9/17,IE0909173,MU.012819.16.00,MU.012819.16,MU.012819.16_IE0909173
9/9/17,IE0909173,MU.012819.16.01,MU.012819.16,MU.012819.16_IE0909173
9/9/17,IE0909173,MU.012819.17.00,MU.012819.17,MU.012819.17_IE0909173
9/9/17,IE0909173,MU.012819.17.01,MU.012819.17,MU.012819.17_IE0909173
4/5/17,IE0405171,MU.013019.01.00,MU.013019.01,MU.013019.01_IE0405171
4/5/17,IE0405171,MU.013019.01.01,MU.013019.01,MU.013019.01_IE0405171
4/5/17,IE0405171,MU.013019.02.00,MU.013019.02,MU.013019.02_IE0405171
4/5/17,IE0405171,MU.013019.02.01,MU.013019.02,MU.013019.02_IE0405171
4/5/17,IE0405171,MU.013019.03.00,MU.013019.03,MU.013019.03_IE0405171
4/5/17,IE0405171,MU.013019.03.01,MU.013019.03,MU.013019.03_IE0405171
4/5/17,IE0405171,MU.013019.04.00,MU.013019.04,MU.013019.04_IE0405171
4/5/17,IE0405171,MU.013019.04.01,MU.013019.04,MU.013019.04_IE0405171
4/5/17,IE0405171,MU.013019.05.00,MU.013019.05,MU.013019.05_IE0405171
4/5/17,IE0405171,MU.013019.05.01,MU.013019.05,MU.013019.05_IE0405171
4/5/17,IE0405171,MU.013019.06.00,MU.013019.06,MU.013019.06_IE0405171
4/5/17,IE0405171,MU.013019.06.01,MU.013019.06,MU.013019.06_IE0405171
4/5/17,IE0405171,MU.013019.07.00,MU.013019.07,MU.013019.07_IE0405171
4/5/17,IE0405171,MU.013019.07.01,MU.013019.07,MU.013019.07_IE0405171
4/5/17,IE0405171,MU.013019.08.00,MU.013019.08,MU.013019.08_IE0405171
4/5/17,IE0405171,MU.013019.08.01,MU.013019.08,MU.013019.08_IE0405171
4/5/17,IE0405171,MU.013019.09.00,MU.013019.09,MU.013019.09_IE0405171
4/5/17,IE0405171,MU.013019.09.01,MU.013019.09,MU.013019.09_IE0405171
4/5/17,IE0405171,MU.013019.10.00,MU.013019.10,MU.013019.10_IE0405171
4/5/17,IE0405171,MU.013019.10.01,MU.013019.10,MU.013019.10_IE0405171
4/5/17,IE0405171,MU.013019.11.00,MU.013019.11,MU.013019.11_IE0405171
4/5/17,IE0405171,MU.013019.11.01,MU.013019.11,MU.013019.11_IE0405171
4/5/17,IE0405171,MU.013019.12.00,MU.013019.12,MU.013019.12_IE0405171
4/5/17,IE0405171,MU.013019.12.01,MU.013019.12,MU.013019.12_IE0405171
4/5/17,IE0405171,MU.013019.13.00,MU.013019.13,MU.013019.13_IE0405171
4/5/17,IE0405171,MU.013019.13.01,MU.013019.13,MU.013019.13_IE0405171
4/5/17,IE0405171,MU.013019.14.00,MU.013019.14,MU.013019.14_IE0405171
4/5/17,IE0405171,MU.013019.14.01,MU.013019.14,MU.013019.14_IE0405171
9/9/17,IE0909174,MU.020119.01.00,MU.020119.01,MU.020119.01_IE0909174
9/9/17,IE0909174,MU.020119.01.01,MU.020119.01,MU.020119.01_IE0909174
