n,standardlength,totallength,bodydepthpectoral,bodydepthanus,propulsivearea,bodyarea,musclearea,eyediameter,caudalpeduncledepth,caudalfinheight,caudalfinarea,bodywidth,interorbitalwidth
280,7.7414,9.6255,2.1467,1.9078,8.1884,11.8501,5.0521,0.5512,0.5881,0.8828,1.5104,,
281,,,,,,,,,,,,0.771,0.5197
282,7.0746,7.6613,2.0272,1.7058,5.865,9.6371,4.4351,0.4246,0.4515,0.7985,0.7363,,
283,,,,,,,,,,,,0.7921,0.5146
284,7.3493,9.0725,2.1157,1.4458,7.7548,10.559,5.1753,0.5066,0.6631,1.0001,1.2951,,
285,,,,,,,,,,,,0.8241,0.5537
286,8.2693,10.0637,2.2223,1.8719,10.969,12.4119,6.7522,0.6155,0.7709,1.0665,1.7293,,
287,,,,,,,,,,,,1.0533,0.6422
288,6.2284,7.5318,1.8104,1.5242,5.7063,7.6549,3.4226,0.4825,0.6057,0.8382,1.1851,,
289,,,,,,,,,,,,0.8851,0.4703
290,6.2965,7.7059,1.7436,1.4647,5.7423,7.5359,3.7536,0.4737,0.5061,0.906,0.9909,,
291,,,,,,,,,,,,0.8136,0.5336
292,7.813,8.5333,2.2385,1.7595,6.7365,10.7684,4.6427,0.6199,0.4949,0.6543,0.8936,,
293,,,,,,,,,,,,0.6783,0.5
294,8.3488,10.2576,2.2586,1.9179,11.657,12.6502,6.6322,0.5726,0.6668,1.2788,2.3521,,
295,,,,,,,,,,,,0.8576,0.632
296,9.7793,12.0968,2.5397,2.1486,14.0631,17.7875,7.7343,0.6208,0.7329,1.5079,3.8262,,
297,,,,,,,,,,,,1.1047,0.756
298,9.7871,12.3577,2.8017,2.2947,13.5789,19.844,8.7939,0.628,0.8362,1.2831,2.4636,,
299,,,,,,,,,,,,1.281,0.7095
300,8.62,10.9552,2.5017,2.1361,11.1195,14.6042,7.191,0.6377,0.8432,1.1757,2.4604,,
301,,,,,,,,,,,,1.1856,0.6777
302,7.9977,9.5509,2.2061,1.9872,9.4053,12.3716,5.9865,0.6112,0.6904,0.933,1.3225,,
303,,,,,,,,,,,,0.9487,0.4999
304,8.1265,10.2519,2.394,1.9152,10.4696,13.7318,6.8811,0.6343,0.8735,1.1793,2.0268,,
305,,,,,,,,,,,,1.1273,0.609
306,9.3615,11.815,2.7292,2.0897,12.8632,17.607,7.6894,0.5797,0.6188,1.3754,2.4459,,
307,,,,,,,,,,,,1.1684,0.7962
308,11.5408,14.7726,3.3998,2.7038,20.3561,28.3298,11.3233,0.8035,0.7847,1.6458,4.8025,,
309,,,,,,,,,,,,1.3902,0.9487
310,9.5141,12.1136,2.8309,2.0531,12.6645,20.9184,6.9782,0.6587,0.8104,1.2757,2.958,,
311,,,,,,,,,,,,1.2111,0.5699
312,8.144,9.8436,2.1217,1.7923,10.7315,12.5893,6.3691,0.5422,0.7686,1.0685,2.0163,,
313,,,,,,,,,,,,1.1511,0.4768
314,10.1495,12.8101,3.0229,2.5758,17.7232,24.1031,10.7523,0.733,0.915,1.4681,3.3998,,
315,,,,,,,,,,,,1.3169,0.8017
316,9.359,11.4739,2.6083,2.0355,13.29,19.9939,8.1224,0.6558,0.8917,1.3714,2.6389,,
317,,,,,,,,,,,,1.3219,0.7923
318,10.1984,12.8648,2.8454,2.4789,16.5421,20.242,9.9715,0.6999,0.9005,1.2919,3.0614,,
319,,,,,,,,,,,,1.3387,0.8379
320,6.6949,8.4079,1.8792,1.5903,6.3994,8.3456,4.3597,0.5257,0.5589,0.8731,1.391,,
321,,,,,,,,,,,,0.8466,0.4011
322,9.8315,12.3863,2.8556,2.4009,15.6992,21.1351,9.7873,0.6558,1.0016,1.4982,3.2812,,
323,,,,,,,,,,,,1.2885,0.7457
324,8.2822,10.2099,2.2403,1.6854,9.9833,12.9984,5.9341,0.6533,0.6923,1.0424,1.706,,
325,,,,,,,,,,,,0.9474,0.6536
326,8.0272,9.333,2.0952,1.5622,7.9513,11.3269,5.3101,0.5545,0.6405,0.9674,1.1497,,
327,,,,,,,,,,,,0.8838,0.6136
328,7.904,10.022,2.1936,1.9099,9.5215,13.105,6.4185,0.5535,0.6736,1.0615,1.9944,,
329,,,,,,,,,,,,1.2054,0.5817
330,9.0941,11.0655,2.7886,2.1556,11.2464,17.4833,7.0873,0.6668,0.6775,1.1515,2.2355,,
331,,,,,,,,,,,,1.2778,0.8496
332,7.0008,9.0988,1.9879,1.6846,7.2044,9.8001,4.7377,0.525,0.6103,1.0182,1.3005,,
333,,,,,,,,,,,,0.8275,0.4963
334,7.6306,9.3904,1.9395,1.7175,8.1624,10.4698,4.8948,0.4787,0.6341,0.9624,1.5042,,
335,,,,,,,,,,,,0.8754,0.8066
336,6.3987,7.5123,1.7608,1.2904,5.8415,7.5517,3.4176,0.5262,0.5659,0.9908,1.391,,
337,,,,,,,,,,,,0.957,0.672
338,6.6452,7.8357,1.8741,1.2955,5.5256,8.4813,3.9185,0.5246,0.6161,0.9036,0.9755,,
339,,,,,,,,,,,,0.8487,0.4337
340,9.0083,12.0915,3.0199,2.3063,12.8363,20.4721,8.196,0.6605,0.7675,1.2523,3.0185,,
341,,,,,,,,,,,,1.5631,0.5647
342,9.1209,11.3956,2.6238,2.0484,12.3982,17.2692,7.6488,0.6378,0.8874,1.2078,2.0979,,
343,,,,,,,,,,,,1.1652,0.6481
344,7.1975,7.7823,1.911,1.1337,6.2689,8.5615,4.2163,0.4714,0.5352,0.7493,1.0818,,
345,,,,,,,,,,,,0.8544,0.601
346,6.9356,8.2774,1.8601,1.6109,6.592,9.4034,4.2421,0.4936,0.6474,0.8573,1.1309,,
347,,,,,,,,,,,,0.8552,0.4582
